bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
H0335,,LAW,"Reported Signed by Governor on January 31, 2018; Session Law Chapter 1; Effective: Retroactive to 01/01/2018",2018-01-16,2018-01-23,,"['Representative Moyle', 'Senator Johnson']",Signed,EMPLOYMENT SECURITY LAW - Amends existing law to revise the calculation of the taxable wage rate by reducing the fund size multiplier and to provide for the issuance of adjusted taxable wage rates by the director under certain circumstances.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2018/legislation/H0335/,
H0336,,LAW,"Reported Signed by Governor on March 12, 2018; Session Law Chapter 49; Effective: 07/01/2018",2018-02-09,2018-02-28,,"['Representative Wood', 'Senator Harris']",Signed,MEDICAID - Amends existing law to revise provisions regarding nursing facility adjustment payments.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2018/legislation/H0336/,
H0337,,LAW,"Reported Signed by Governor on March 7, 2018; Session Law Chapter 34; Effective: 07/01/2018",2018-02-05,2018-02-23,,"['Representative Kingsley', 'Senator Jordan']",Signed,HEALTH - Amends existing law to define terms and to revise provisions regarding the state Behavioral Health Planning Council and regional behavioral health boards.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2018/legislation/H0337/,
H0338,,H Health/Wel,01/17; Reported Printed and Referred to Health & Welfare,,,,,,"HEALTH CARE - Adds to and amends existing law to authorize application for a certain waiver, to provide that the Board of Directors of the Idaho Individual High Risk Reinsurance Pool shall take certain action, to provide medical assistance eligibility for certain individuals and to provide that the Department of Health and Welfare will establish certain premiums.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2018/legislation/H0338/,
H0339,,LAW,"Reported Signed by Governor on March 7, 2018; Session Law Chapter 35; Effective: 07/01/2018",2018-01-31,2018-02-23,,"['Representative Chew', 'Senator Harris']",Signed,PHARMACY - Adds to existing law to establish provisions regarding certain drug product substitutions.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2018/legislation/H0339/,
H0340,,LAW,"Reported Signed by Governor on March 7, 2018; Session Law Chapter 36; Effective: 07/01/2018",2018-01-31,2018-02-23,,"['Representative Chew', 'Senator Souza']",Signed,CONTROLLED SUBSTANCES - Amends and repeals existing law to revise provisions regarding controlled substances.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2018/legislation/H0340/,
H0341,,H Health/Wel,01/17; Reported Printed and Referred to Health & Welfare,,,,,,TOBACCO - Amends existing law to establish a certain fee and to revise provisions regarding the Prevention of Minors’ Access to Tobacco Fund.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2018/legislation/H0341/,
H0342,,H Health/Wel,01/17; Reported Printed and Referred to Health & Welfare,,,,,,HOSPITALIZATION OF THE MENTALLY ILL - Amends existing law to revise provisions regarding a certain notice.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2018/legislation/H0342/,
H0343,,LAW,"Reported Signed by Governor on March 12, 2018; Session Law Chapter 52; Effective: 07/01/2018",2018-01-31,2018-02-28,,"['Representative Vander Woude', 'Senator Martin']",Signed,DENTISTS - Amends existing law to revise a definition.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2018/legislation/H0343/,
H0344,,LAW,"Reported Signed by Governor on March 12, 2018; Session Law Chapter 53; Effective: 07/01/2018",2018-01-31,2018-02-28,,"['Representative Hanks', 'Senator Jordan']",Signed,DENTISTS - Amends existing law to revise definitions and provisions regarding certain procedures performed by dental hygienists and to revise terminology.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2018/legislation/H0344/,
