bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
H0473,Amended,LAW,03/23 Governor signed; Session Law Chapter 233; Effective: 07/01/04,2004-03-17,2004-03-12,,"['Representative Cuddy', 'Senator Little']",Signed,STATE HIGHWAYS - BIDS - Amends existing law relating to bids on the state highway system to provide an administrative remedy for a losing bidder to contest a contract offer; to provide for appointment of a hearing officer by the chief engineer upon receipt of an application; to provide a contested case hearing; to provide for entering a final order; and to authorize the chief engineer to award the contract to the bidder determined in the final order to be the lowest responsible bidder at a time and in a manner which shall be in the best interest of the state.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2004/legislation/H0473/,
H0474,,LAW,03/23 Governor signed; Session Law Chapter 234; Effective: 07/01/04,2004-01-29,2004-03-15,,"['Representative Smith(24)', 'Senator Keough']",Signed,"MOTOR CARRIERS - AUDITS - Amends existing law relating to motor carrier registration and audit guidelines to transfer motor carrier audit functions from the Idaho Transportation Department to the State Tax Commission; to remove rulemaking authority of the Idaho Transportation Department with respect to audit procedures; to authorize the State Tax Commission to generate a notice of deficiency and to develop a methodology to calculate such a notice; to provide that the State Tax Commission shall provide the motor carrier with notice and opportunity to use the appeals process prior to suspension of registration; and to provide that the Idaho Transportation Department shall not reregister or permit a vehicle to operate on a trip permit until all audit assessments, penalties and interest have been paid.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2004/legislation/H0474/,
H0475,,LAW,03/23 Governor signed; Session Law Chapter 235; Effective: 07/01/04,2004-01-26,2004-03-15,,"['Representative Roberts', 'Senator Bailey']",Signed,"FUELS TAX - Amends existing fuels tax law to provide that gasoline used to propel all-terrain vehicles not required to be registered under motor vehicle law or under recreational activities law is exempt from fuel tax; to provide for refunds payable on such fuel; and to expand the definition of ""recreational vehicle"" to include all-terrain vehicles.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2004/legislation/H0475/,
H0476,,H Rev/Tax,01/20 Rpt prt - to Rev/Tax,,,,,,SCHOOL DISTRICTS - Amends existing law to strike the maximum amount restrictions relating to appropriations from the state to school districts associated with the replacement of a portion of authorized school maintenance and operation property tax levies with state sales tax receipts.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2004/legislation/H0476/,
H0477,,LAW,03/10 Governor signed; Session Law Chapter 27; Effective: 07/01/04,2004-02-09,2004-03-02,,"['Representative Wood', 'Senator Compton(Duncan)']",Signed,"PROPERTY TAX - Repeals, adds to and amends existing law to delete the method of assessment for certain manufactured homes under a dealer's plate or as a sheep and cow camp; to exempt from taxation certain manufactured homes used under a dealer's plate or as a sheep and cow camp; and to provide that the State Tax Commission shall promulgate rules specifying procedures to establish average crop prices and capitalization rates and for the publication of crop prices and of the discount rate to be used to determine the capitalization rate used in calculating the exemption of the speculative portion of the value of agricultural land.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2004/legislation/H0477/,
H0478,,LAW,03/10 Governor signed; Session Law Chapter 28; Effective: 07/01/04,2004-02-09,2004-03-02,,"['Representative Smith(24)', 'Senator Gannon']",Signed,TAXATION - Amends existing law to permit use of private delivery services approved by the Internal Revenue Service to accomplish timely filing of tax returns and other tax related documents with the State Tax Commission; to change from October to September the month of the applicable federal rate used to index the interest rate on taxes and refunds; to provide that an action to foreclose a tax lien must be brought in the county in which the property is located and to clarify the limitation of time for bringing such action; and to delete references to constables and deputies and update references to agents of the State Tax Commission.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2004/legislation/H0478/,
H0479,,LAW,03/10 Governor signed; Session Law Chapter 29; Effective: 07/01/04,2004-02-09,2004-03-02,,"['Representative Collins', 'Senator Werk']",Signed,UNCLAIMED PROPERTY - Amends existing law relating to unclaimed property to require reporting of the full name and last known address of the insured or annuitant or beneficiary when unclaimed funds of more than fifty dollars held or owing under any life or endowment insurance policy or annuity contract are reported; to require that the report of abandoned property must be filed no later than November first of each year; to provide that property escheats to the state of Idaho ten years after it is received by the administrator of unclaimed property; to provide that the State Tax Commission shall record the name and last known address of the person entitled to the property within sixty days of transferring excess funds from the unclaimed property account; and to provide that statements to purchasers shall set forth amounts due by the holder.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2004/legislation/H0479/,
H0480,,LAW,03/19 Governor signed; Session Law Chapter 81; Effective: 01/01/05,2004-02-05,2004-03-10,,"['Representative Naccarato', 'Senator Bailey']",Signed,LICENSE PLATES - HISTORIC LEWISTON - Adds to and amends existing law to establish an Historic Lewiston special motor vehicle license plate program.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2004/legislation/H0480/,
H0481,,LAW,03/10 Governor signed; Session Law Chapter 30; Effective: 01/01/04,2004-02-09,2004-03-02,,"['Representative Barrett', 'Senator McKenzie']",Signed,"INCOME TAX - Amends existing law to make various changes to the Idaho Income Tax Act; to clarify the exclusion for certain dividends payable to a mutual insurance stock holding company or intermediate holding company; to provide a correct reference to the Internal Revenue Code; to provide changes in retirement age under the Social Security Act; to provide a definition of disabled; to clarify that to qualify for the deduction for certain expenses for household and dependent care, services must be paid by the individual maintaining the household; and to update the income tax withholding rate applicable to lottery winnings.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2004/legislation/H0481/,
H0482,Amended,LAW,03/23 Governor signed; Session Law Chapter 236; Effective: 07/01/04,2004-02-24,2004-03-16,,"['Representative Denney', 'Senator Cameron']",Signed,FISH AND GAME - Amends existing law relating to fish and game to revise certain controlled hunt fees.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2004/legislation/H0482/,
