bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
H0346,,LAW,"Reported Signed by Governor on March 19, 2014; Session Law Chapter 155; Effective: 07/01/2014",2014-01-27,2014-03-12,,"['Representative Kauffman', 'Senator Schmidt']",Signed,LANDSCAPE ARCHITECT REGISTRATION AND LICENSING ACT - Amends existing law relating to the Landscape Architect Registration and Licensing Act to revise a definition.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2014/legislation/H0346/,
H0347,,LAW,"Reported Signed by Governor on March 19, 2014; Session Law Chapter 156; Effective: 07/01/2014",2014-01-27,2014-03-12,,"['Representative Youngblood', 'Senator Goedde']",Signed,REAL ESTATE APPRAISERS ACT - Amends existing law relating to the Idaho Real Estate Appraisers Act to provide an additional power and duty of the Real Estate Appraiser Board.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2014/legislation/H0347/,
H0348,,LAW,"Reported Signed by Governor on March 6, 2014; Session Law Chapter 32; Effective: 07/01/2014",2014-01-30,2014-02-25,,"['Representative Chew', 'Senator Bock']",Signed,UNIFORM CONTROLLED SUBSTANCES - Amends existing law to provide that a recipient of a dispensed controlled substance or the recipient’s designee shall have access to certain prescription monitoring program data upon production of certain information.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2014/legislation/H0348/,
H0349,,LAW,"Reported Signed by Governor on March 6, 2014; Session Law Chapter 33; Effective: 07/01/2014",2014-01-30,2014-02-25,,"['Representative Chew', 'Senator Hagedorn']",Signed,UNIFORM CONTROLLED SUBSTANCES - Amends existing law to revise the lists of Schedule III and IV Uniform Controlled Substances.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2014/legislation/H0349/,
H0350,,LAW,"Reported Signed by Governor on March 6, 2014; Session Law Chapter 34; Effective: 07/01/2014",2014-01-30,2014-02-25,,"['Representative Chew', 'Senator Schmidt']",Signed,BOARD OF PHARMACY - Amends existing law to revise a provision relating to registration to practice as a pharmacist; to revise a provision relating to requirements for a drug or device outlet doing business in this state; and to revise a provision relating to whom a manufacturer or wholesale distributor may furnish prescription drugs or scheduled controlled substances.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2014/legislation/H0350/,
H0351,,H Health/Wel,01/14; Reported Printed and Referred to Health & Welfare,,,,,,MEDICAL ASSISTANCE - Amends existing law to revise provisions relating to persons who are eligible for a managed care plan or plans.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2014/legislation/H0351/,
H0352,,LAW,"Reported Signed by Governor on March 13, 2014; Session Law Chapter 80; Effective: 07/01/2014",2014-02-06,2014-03-06,,"['Representative Malek', 'Senator Bock']",Signed,PUBLIC ASSISTANCE - Amends and repeals existing law to remove reference to the Children’s Access Card Program; to provide that the Department of Health and Welfare shall limit certain assistance to those who do not have access to comparable or better coverage; and to revise provisions relating to gross income.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2014/legislation/H0352/,
H0353,,LAW,"Reported Signed by Governor on March 11, 2014; Session Law Chapter 52; Effective: 07/01/2014",2014-02-06,2014-03-05,,"['Representative Morse', 'Senator Schmidt']",Signed,"CHILDREN’S TRUST FUND - Amends existing law to revise provisions relating to service and removal of board members; to authorize expansion of the board’s ability to carry out the purpose of the Children’s Trust Fund; to authorize the employment of an executive director, to authorize the board to contract for services deemed necessary, to authorize the board to solicit and accept grants, donations, gifts and other moneys; and to provide that other moneys from outside sources shall be included in the Children’s Trust Fund.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2014/legislation/H0353/,
H0354,,LAW,"Reported Signed by Governor on March 11, 2014; Session Law Chapter 53; Effective: 07/01/2014",2014-02-03,2014-03-05,,"['Representative Romrell', 'Senator Bock']",Signed,COUNSELORS AND THERAPISTS - Amends existing law relating to counselors and therapists to grant the Idaho Licensing Board of Professional Counselors and Marriage and Family Therapists the power to establish by rule the standards and requirements for the use of communication technology in the practice of counseling and marriage and family therapy.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2014/legislation/H0354/,
H0355,,LAW,"Reported Signed by Governor on March 11, 2014; Session Law Chapter 54; Effective: 07/01/2014",2014-02-03,2014-03-05,,"['Representative Hancey', 'Senator Schmidt']",Signed,SOCIAL WORK LICENSING ACT - Amends existing law relating to the Social Work Licensing Act to establish by rule the standards and requirements for the use of communication technology in the practice of social work.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2014/legislation/H0355/,
H0356,,LAW,"Reported Signed by Governor on March 17, 2014; Session Law Chapter 101; Effective: 07/01/2014",2014-02-03,2014-03-07,,"['Representative Morse', 'Senator Guthrie']",Signed,"PODIATRISTS - Amends existing law relating to podiatrists to remove obsolete provisions and to revise provisions relating to the State Board of Podiatry; to revise provisions and to establish additional provisions relating to the powers and duties of the State Board of Podiatry; to revise provisions relating to an examination for a podiatrist license and related fee and to remove provisions relating to reexamination; to revise provisions relating to an original license fee; to provide an additional ground for discipline of a license; to revise a catchline and to remove certain provisions relating to proceedings for suspension, revocation or other discipline of a license.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2014/legislation/H0356/,
H0357,,LAW,"Reported Signed by Governor on March 18, 2014; Session Law Chapter 105; Effective: 07/01/2014",2014-02-07,2014-03-11,,"['Representative Hixon', 'Senator Heider']",Signed,SPEECH AND HEARING SERVICES PRACTICE ACT - Amends existing law relating to the Speech and Hearing Services Practice Act to revise provisions relating to a quorum.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2014/legislation/H0357/,
