bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
H0308,,H Transp,01/10; Reported Printed and Referred to Transportation & Defense,,,,,,MOTOR VEHICLES - Amends existing law to prohibit local authorities from adopting ordinances that prohibit or restrict the use of handheld wireless devices and to provide for distracted driving.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0308/,
H0309,,H Transp,01/22; U.C. to be returned to Transportation & Defense Committee,,,,,,"TRANSPORTATION - Adds to existing law to establish a source of transportation funding and to create the Economic Reserve and Investment Fund for the purpose of providing moneys for the Strategic Initiatives Program, General Fund revenue shortfalls, and expenses incurred as a result of a disaster.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0309/,
H0310,,LAW,"Reported Signed by Governor on March 9, 2020; Session Law Chapter 54; Effective: 07/01/2020",2020-01-28,2020-03-02,,"['Representative Christensen', 'Senator Heider']",Signed,HEALTH AND WELFARE - Amends existing law to remove a specific reference to the National Crime Information Center as a source of information in criminal history and background checks.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0310/,
H0311,,LAW,"Reported Signed by Governor on February 13, 2020; Session Law Chapter 11; Effective: 07/01/2020",2020-01-28,2020-02-06,,"['Representative Kingsley', 'Senator Nelson']",Signed,"HEALTH - Amends existing law to revise the definition of ""evaluation committee,"" thereby permitting licensed professional counselors to serve on committees evaluating individuals for developmental disabilities.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0311/,
H0312,,H FAILED,01/28; Read Third Time in Full - FAILED - 23-44-2,2020-01-28,,,,,DAYCARE FACILITIES - Amends existing law to revise licensing and other requirements for daycare facilities.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0312/,
H0313,,LAW,"Reported Signed by Governor on March 9, 2020; Session Law Chapter 53; Effective: 07/01/2020",2020-01-28,2020-03-02,,"['Representative Wagoner', 'Senator Lee']",Signed,ACUPUNCTURE - Amends existing law to provide for endorsement licensure and to establish additional grounds for discipline.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0313/,
H0314,,LAW,"Reported Signed by Governor on February 13, 2020; Session Law Chapter 12; Effective: 07/01/2020",2020-01-28,2020-02-06,,"['Representative Wintrow', 'Senator Ward-Engelking']",Signed,DEAF AND HARD OF HEARING - Amends existing law to revise terminology regarding persons who are deaf or hard of hearing.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0314/,
H0315,,LAW,"Reported Signed by Governor on February 13, 2020; Session Law Chapter 13; Effective: 07/01/2020",2020-01-27,2020-02-06,,"['Representative Chew', 'Senator Harris']",Signed,CONTROLLED SUBSTANCES - Amends existing law to update Schedule I.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0315/,
H0316,,LAW,"Reported Signed by Governor on February 13, 2020; Session Law Chapter 14; Effective: 07/01/2020",2020-01-27,2020-02-06,,"['Representative Zollinger', 'Senator Jordan']",Signed,PHARMACY - Amends existing law to update provisions.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0316/,
H0317,,S Health/Wel,"Introduced, read first time; referred to: Health & Welfare",2020-02-05,,,['Representative Blanksma'],,OPTOMETRISTS - Repeals and adds to existing law regarding optometric physicians.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0317/,
H0318,,LAW,"Reported Signed by Governor on March 11, 2020; Session Law Chapter 96; Effective: 03/11/2020",2020-01-27,2020-03-02,,"['Representative Troy', 'Senator Souza']",Signed,OCCUPATIONAL LICENSING - Amends existing law to rename the Bureau of Occupational Licenses as the Division of Occupational and Professional Licenses.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0318/,
H0319,,LAW,"Reported Signed by Governor on March 9, 2020; Session Law Chapter 68; Effective: 07/01/2020",2020-02-06,2020-03-03,,"['Representative Wintrow', 'Senator Anthon']",Signed,STATE APPELLATE PUBLIC DEFENDER - Amends existing law to revise the powers of the State Appellate Public Defender.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0319/,
H0320,,H Jud,"01/15; Reported Printed and Referred to Judiciary, Rules & Administration",,,,,,CRIMINAL JUSTICE INTEGRATED DATA SYSTEM ACT - Adds to and amends existing law to establish the Criminal Justice Integrated Data System and the Data Oversight Council and to provide that certain records of the Criminal Justice Integrated Data System shall be exempt from disclosure.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0320/,
H0321,,LAW,"Reported Signed by Governor on February 11, 2020; Session Law Chapter 9; Effective: 07/01/2020",2020-01-27,2020-02-05,,"['Representative Syme', 'Senator Lodge']",Signed,LIQUOR - Amends existing law to clarify that it shall not be unlawful for certain persons to enter specified premises.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0321/,
H0322,,H St Aff,01/27; U.C. to be returned to State Affairs Committee,,,,,,ELECTIONS - Amends existing law to revise provisions regarding political party affiliation of a voter for a presidential primary election.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0322/,
H0323,,LAW,"Reported Signed by Governor on February 3, 2020; Session Law Chapter 2; Effective: 02/03/2020",2020-01-20,2020-01-24,,"['Representative Wintrow', 'Senator Lee']",Signed,APPROPRIATIONS - HEALTH AND WELFARE - OTHER PROGRAMS - Relates to the appropriation to the Department of Health and Welfare for fiscal year 2020.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0323/,
H0324,,LAW,"Reported Signed by Governor on January 30, 2020; Session Law Chapter 1; Effective: 01/30/2020",2020-01-20,2020-01-24,,"['Representative Kauffman', 'Senator Burtenshaw']",Signed,APPROPRIATIONS - DEPARTMENT OF PARKS AND RECREATION - Relates to the appropriation to the Department of Parks and Recreation for fiscal year 2020.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0324/,
H0325,Amended,VETOED,"Returned from Governor vetoed on March 24, 2020",2020-03-19,2020-03-11,,"['Representative Palmer', 'Senator Brackett']",Vetoed,TRANSPORTATION - Amends existing law to revise the sales tax distribution to the Transportation Expansion and Congestion Mitigation Fund and to establish the Bridge Maintenance and Replacement Program Fund.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0325/,
H0326,,LAW,"Reported Signed by Governor on March 9, 2020; Session Law Chapter 44; Effective: 07/01/2020",2020-02-03,2020-03-02,,"['Representative Goesling', 'Senator Stennett']",Signed,"VETERANS - Amends existing law to remove a definition, to provide that rulemaking may include certain provisions, and to provide correct code references.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0326/,
H0327,,LAW,"Reported Signed by Governor on March 9, 2020; Session Law Chapter 67; Effective: 07/01/2020",2020-02-03,2020-03-03,"['Representative Bill Goesling', 'Representative James Addis', 'Representative Paul Amador', 'Representative Kevin Andrus', 'Representative Clark Kauffman', 'Representative Rob Mason', 'Representative John Mc', 'Representative Megan Blanksma', 'Representative Muffy Davis', 'Representative Mike Moyle', 'Representative Jerald Raymond', 'Representative Doug Ricks', 'Representative Jake Ellis', 'Representative Brooke Green', 'Representative Thyra Stevenson', 'Representative Scott Syme', 'Representative Julianne Young', 'Representative Rick Youngblood']","['Representative Goesling', 'Senator Stennett']",Signed,VETERANS - Amends existing law to revise the title heading.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0327/,
H0328,,H Res/Con,01/17; Reported Printed and Referred to Resources & Conservation,,,,,,OUTFITTERS - Amends existing law to revise provisions regarding individual outfitter computation in controlled hunts.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0328/,
H0329,,LAW,"Reported Signed by Governor on March 9, 2020; Session Law Chapter 56; Effective: 07/01/2020",2020-02-14,2020-03-02,,"['Representative Raybould', 'Senator Mortimer']",Signed,"WATER RESOURCES - Amends existing law to authorize the director of the Department of Water Resources to receive, file, record, or retain documents of record on media other than paper.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0329/,
H0330,,LAW,"Reported Signed by Governor on March 3, 2020; Session Law Chapter 40; Effective: 12/01/2020",2020-02-04,2020-02-26,,"['Representative Kauffman', 'Senator Johnson']",Signed,FISH AND GAME - Amends existing law to revise fee provisions.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0330/,
H0331,,LAW,"Reported Signed by Governor on February 11, 2020; Session Law Chapter 8; Effective: 02/11/2020",2020-01-27,2020-02-03,,"['Representative Troy', 'Senator Crabtree']",Signed,APPROPRIATIONS - STEM ACTION CENTER - Relates to the appropriation to the STEM Action Center for fiscal year 2020.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0331/,
H0332,,LAW,"Reported Signed by Governor on March 3, 2020; Session Law Chapter 38; Effective: 07/01/2020",2020-02-03,2020-02-26,,"['Representative Wintrow', 'Senator Den Hartog']",Signed,TRANSPORTATION - Amends existing law to provide for authorized agents of the Idaho Transportation Department to issue certain identification cards and to retain certain fees.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0332/,
H0333,,LAW,"Reported Signed by Governor on March 3, 2020; Session Law Chapter 37; Effective: 07/01/2020",2020-02-03,2020-02-26,,"['Representative Gestrin', 'Senator Lodge']",Signed,TRANSPORTATION - Amends existing law to revise requirements for automobile dealer and salesperson license renewals.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0333/,
H0334,,LAW,"Reported Signed by Governor on March 9, 2020; Session Law Chapter 48; Effective: 07/01/2020",2020-02-04,2020-03-02,,"['Representative Gannon', 'Senator Nelson']",Signed,TRANSPORTATION - Amends existing law to increase moneys distributed to the Local Bridge Inspection Account.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0334/,
H0335,,H W/M,01/21; Reported Printed and Referred to Ways & Means,,,"['Representative Ilana Rubel', 'Representative Muffy Davis', 'Representative Jake Ellis', 'Representative Rob Mason', 'Representative John Mc', 'Representative Lauren Necochea', 'Representative Elaine Smith', 'Representative Sally Toone', 'Representative Sue Chew', 'Senator Janie Ward', 'Senator Maryanne Jordan', 'Senator Michelle Stennett', 'Senator Cherie Buckner', 'Senator Grant Burgoyne']",,,EMINENT DOMAIN - Amends existing law to remove language prohibiting the use of eminent domain for the purpose of certain recreational trails.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0335/,
H0336,,H W/M,01/21; Reported Printed and Referred to Ways & Means,,,"['Representative John Mc', 'Representative Sally Toone', 'Representative Muffy Davis', 'Representative Lauren Necochea', 'Representative Elaine Smith', 'Representative Rob Mason', 'Representative Jake Ellis', 'Representative Ilana Rubel', 'Representative Sue Chew', 'Senator Janie Ward', 'Senator Maryanne Jordan', 'Senator David Nelson', 'Senator Michelle Stennett', 'Senator Cherie Buckner', 'Senator Grant Burgoyne']",,,"VOTER REGISTRATION - Amends existing law to establish the Motor Voter Act, to provide for registration of eligible electors at driver’s licensing offices, and to provide that the Division of Motor Vehicles shall forward registration applications to the office of the county clerk.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0336/,
H0337,,H W/M,01/21; Reported Printed and Referred to Ways & Means,,,"['Representative Ilana Rubel', 'Representative Muffy Davis', 'Representative Jake Ellis', 'Representative John Gannon', 'Representative Rob Mason', 'Representative John Mc', 'Representative Lauren Necochea', 'Representative Elaine Smith', 'Representative Sally Toone', 'Representative Sue Chew', 'Senator Janie Ward', 'Senator Maryanne Jordan', 'Senator Michelle Stennett', 'Senator Cherie Buckner', 'Senator Grant Burgoyne']",,,MINIMUM WAGE - Amends existing law to remove language prohibiting a political subdivision from enacting a minimum wage that is higher than the state minimum wage.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2020/legislation/H0337/,
