bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
H0001,Amended,H Jud,02/23 Ret'd to Jud,,,,,,"PSEUDOEPHEDRINE - Amends existing law to provide conditions for sale of any compound, mixture or preparation containing any detectable quantity of pseudoephedrine, its salts or optical isomers, or salts of optical isomers.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0001/,
H0002,,LAW,02/18 Governor signed; Session Law Chapter 12; Effective: 07/01/05,2005-01-20,2005-02-09,,"['Representative Kemp', 'Senator Coiner']",Signed,EMPLOYMENT SECURITY LAW - Adds to existing law relating to employment security law to provide for assignment of rates and transfers of experience; to provide civil penalties for specified violations; to provide a felony penalty for specified violations; to provide definitions; to provide that the director shall establish procedures to identify the transfer or acquisition of a business; and to provide for interpretation and application of the law in accordance with federal guidelines.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0002/,
H0003,,LAW,02/18 Governor signed; Session Law Chapter 13; Effective: 07/01/05,2005-01-20,2005-02-08,,"['Representative Mathews', 'Senator Compton']",Signed,COMMERCE AND LABOR DEPARTMENT - Amends existing law to rename and revise the membership of  advisory councils to the Department of Commerce and Labor;  and to provide proper terminology.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0003/,
H0004,,LAW,"02/07 Governor signed; Session Law Chapter 5; Effective: 01/01/05 Secs 3, 7, 8 & 9;; 07/01/05 All other sections",2005-01-20,2005-02-01,,"['Representative Pasley-Stuart', 'Representative Lake', 'Senator Andreason', 'Senator Goedde', 'Senator Malepeai']",Signed,"UNEMPLOYMENT INSURANCE - Amends and adds to existing law relating to unemployment insurance tax rates to revise definitions; to require covered employers to submit a business registration form; to provide an exception to imposition of the reserve tax; to revise requirements for the Special Administration Fund; to provide for disbursement of any unencumbered balance in the Workforce Development Training Fund exceeding six million dollars; to revise the method for determining taxable wage rates; to provide finality of determinations of chargeability; to provide liability for amounts due from transferred experience rating accounts; to revise the penalty on unpaid amounts; to provide for the collection of jeopardy assessment amounts due; to revise the rate of interest on liens; to revise the personal eligibility conditions for benefits; to revise the method for determining the maximum weekly benefit amount; to revise the number of weeks of benefit entitlement; to provide that severance pay is deductible income; to provide civil penalties on overpayments resulting from false statements, misrepresentation or failure to report a material fact; to revise the methods of collection; to revise the criteria for waiver of overpayments; and to provide civil penalties for employers.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0004/,
H0005,,LAW,02/01 Governor signed; Session Law Chapter 1; Effective: 02/01/05,2005-01-20,2005-01-26,,"['Representative Eskridge', 'Senator Sweet']",Signed,"APPROPRIATIONS - STATE CONTROLLER - Appropriates an additional $680,000 to the State Controller's Office for fiscal year 2005.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0005/,
H0006,,LAW,02/07 Governor signed; Session Law Chapter 6; Effective: 02/07/05,2005-01-24,2005-01-28,,"['Representative Bedke', 'Senator Hill']",Signed,"APPROPRIATIONS - Directs the transfer of $1,274,200 to the Fire Suppression Deficiency Fund; directs the transfer of $259,300 to the Pest Control Deficiency Fund; and directs the transfer of $141,600 to the Hazardous Substance Emergency Response Fund.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0006/,
H0007,,LAW,02/07 Governor signed; Session Law Chapter 7; Effective: 02/07/05,2005-01-24,2005-01-28,,"['Representative Skippen', 'Senator Lodge']",Signed,"APPROPRIATIONS - EXAMINERS BOARD - Appropriating an additional $11,500 to the Department of Self-Governing Agencies for the Board of Examiners for fiscal year 2005.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0007/,
H0008,,LAW,02/07 Governor signed; Session Law Chapter 8; Effective: 02/07/05,2005-01-24,2005-01-28,,"['Representative Bolz', 'Senator Marley']",Signed,"APPROPRIATIONS - PUBLIC UTILITIES COMMISSION - Appropriating an additional $5,900 to the Public Utilities Commission for fiscal year 2005.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0008/,
H0009,,LAW,02/07 Governor signed; Session Law Chapter 9; Effective: 02/07/05,2005-01-24,2005-02-01,,"['Representative Harwood', 'Senator Werk']",Signed,"APPROPRIATIONS - Appropriating an additional $36,200 from the Miscellaneous Revenue Fund to the Department of Water Resources for fiscal year 2005; and reducing the appropriation to the Department of Water Resources from the Petroleum Price Violation Fund by $36,200 for fiscal year 2005.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0009/,
H0010,,LAW,02/18 Governor signed; Session Law Chapter 14; Effective: 01/07/05 Section 1;; 01/01/05 All others,2005-01-24,2005-02-11,,"['Representative Field(18)', 'Senator Hill']",Signed,"INTERNAL REVENUE CODE - Amends existing law to update references to the ""Internal Revenue Code""; and to provide that the amount of general sales tax included in federal itemized deductions be added back when calculating state deductions.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0010/,
H0011,Amended,LAW,03/11 Governor signed; Session Law Chapter 36; Effective: 07/01/05,2005-03-07,2005-02-23,,"['Representative Collins', 'Senator McKenzie']",Signed,UNCLAIMED PROPERTY - Amends existing law to delete the requirement of annual newspaper publication for unclaimed property; and to provide for quarterly updates on a public website maintained by the State Tax Commission.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0011/,
H0012,,LAW,02/18 Governor signed; Session Law Chapter 15; Effective: 07/01/05,2005-01-31,2005-02-08,,"['Representative Lake', 'Senator Hill']",Signed,SALES TAX - OCCASIONAL SALES - Amends existing law to provide that the definition of occasional sales for sales and use tax purposes does not apply to use tax on tangible personal property used to improve real property when the property is obtained directly or indirectly from a person in the business of making like or similar improvements to real property.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0012/,
H0013,,LAW,02/18 Governor signed; Session Law Chapter 16; Effective: 01/01/05,2005-01-31,2005-02-08,,"['Representative Schaefer', 'Senator Corder']",Signed,INCOME TAX - DEDUCTIONS - Adds to existing law relating to income tax to provide that a deduction for taxpayers who restore to income substantial amounts held under claim of right not deductible on the taxpayer's federal income tax return.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0013/,
H0014,,LAW,02/18 Governor signed; Session Law Chapter 17; Effective: 07/01/05,2005-02-03,2005-02-11,,"['Representative Raybould', 'Senator McKenzie']",Signed,"TAXPAYER APPEALS - Amends existing law to revise jurisdictional provisions for appeals to the Board of Tax Appeals and the district court; and to define the term ""amount asserted.""                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0014/,
H0015,,LAW,02/18 Governor signed; Session Law Chapter 18; Effective: 07/01/05 Section 1;; 08/01/05 Section 2,2005-01-31,2005-02-08,,"['Representative Smith(24)', 'Senator Langhorst']",Signed,SALES TAX - Amends existing law to exclude Multistate Tax Compact sales tax revenue from the state sales tax distribution requirement.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0015/,
H0016,,LAW,03/21 Governor signed; Session Law Chapter 65; Effective: 07/01/05,2005-02-28,2005-03-14,,"['Representative Kemp', 'Senator Jorgenson']",Signed,PROFESSIONAL-TECHNICAL EDUCATION - Amends existing law relating to the State Board for Professional-Technical Education to provide consistency in language relating to powers of the board regarding removal of employees.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0016/,
H0017,,LAW,"04/05 Governor signed; Session Law Chapter 258; Effective: 07/01/05",2005-02-28,2005-03-23,,"['Representative Bradford', 'Senator Marley']",Signed,"DEAF AND BLIND SCHOOL - Amends existing law relating to powers of the State Board of Education to provide for flexibility in payment of salaries for employees of the Idaho School for the Deaf and Blind.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0017/,
H0018,,LAW,03/28 Governor signed; Session Law Chapter 173; Effective: 07/01/05,2005-02-28,2005-03-21,,"['Representative Nielsen', 'Senator Gannon']",Signed,STUDENTS - LOAN FORGIVENESS - Amends existing law to revise eligibility for application to the student education incentive loan forgiveness contract; to authorize award of unused contracts; and to designate Eastern Idaho Technical College as a participating institution.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0018/,
H0019,,H Educ,01/21 Rpt prt - to Educ,,,,,,SCHOLARSHIPS - Amends existing law relating to scholarships for qualified dependents of public safety officers killed or disabled in the line of duty to place a limit on the length of time educational benefits shall be extended to a qualified dependent; to provide that application for eligibility shall be made to the State Board of Education; and to provide duties of the State Board of Education for verifying and communicating eligibility findings.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0019/,
H0020,,H Res/Con,01/21 Rpt prt - to Res/Con,,,,,,CHINOOK SALMON - Amends existing law to provide license requirements for the purchase and sale of Chinook Salmon; to provide license requirements for establishments preparing Chinook Salmon for consumption; to provide exceptions relating to personal consumption; and to provide license fees.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0020/,
H0021,,LAW,02/22 Governor signed; Session Law Chapter 20; Effective: 07/01/05,2005-02-03,2005-02-14,,"['Representative Roberts', 'Senator Williams']",Signed,TRAPPING PRIVILEGES - Amends existing law to require magistrates to submit records of all revocations of trapping privileges to the Idaho Department of Fish and Game.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0021/,
H0022,,LAW,03/02 Governor signed; Session Law Chapter 25; Effective: 07/01/05,2005-02-07,2005-02-24,,"['Representative Snodgrass', 'Senator McKenzie']",Signed,"CODIFIER CORRECTIONS - Amends existing law to ""clean up"" various code sections and subsections by renumbering those code sections or subsections that were redesignated by the compiler of the Idaho Code as a result of multiple amendments to code sections prior to the 2005 Legislative Session.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0022/,
H0023,,LAW,04/05 Governor signed; Session Law Chapter 259; Effective: 07/01/05,2005-02-15,2005-03-23,,"['Representative Wills', 'Senator Stegner']",Signed,"ELECTRONIC BINGO DEVICES - Amends and adds to existing law to provide that the Idaho State Lottery Commission shall regulate electronic bingo devices; to provide for the approval of electronic bingo devices and site systems; to authorize testing by the Lottery Commission; to specify requirements for manufacture and distribution of electronic bingo devices, including requirements for download and for certain prohibitions, restrictions on numbers of faces per game and procedures following malfunctions; to specify requirements and duties of licensed distributors, including notification requirements and invoice requirements; and to govern operations of licensed organizations.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0023/,
H0024,,LAW,03/02 Governor signed; Session Law Chapter 26; Effective: 07/01/05,2005-02-07,2005-02-24,,"['Representative Bolz', 'Senator Lodge']",Signed,"FIRE PROTECTION DISTRICTS - Amends existing law to provide that the fiscal year of a fire protection district shall commence either on the first day of October of each calendar year, or on the first day of January of each calendar year, as established by resolution of the fire protection board of commissioners.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0024/,
H0025,,LAW,02/22 Governor signed; Session Law Chapter 21; Effective: 01/01/05,2005-02-03,2005-02-14,,"['Representative Wood', 'Senator Malepeai']",Signed,"INCOME TAX - Amends existing law to include in income for income tax purposes, that income, derived from or relating to sources within Idaho, from gains or losses realized from the sale or other disposition of a partnership interest or stock in an S corporation to the extent of the partnership's or S corporation's Idaho apportionment factor in the year preceding the year of sale.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0025/,
H0026,,H Rev/Tax,01/21 Rpt prt - to Rev/Tax,,,,,,"INCOME TAX - Amends existing law relating to income taxes to require, in the case of real estate investment trusts, that the taxpayer add back dividends paid and deducted pursuant to sections 561 and 857 of the Internal Revenue Code.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0026/,
H0027,,LAW,02/22 Governor signed; Session Law Chapter 22; Effective: 07/01/05,2005-02-07,2005-02-14,,"['Representative Roberts', 'Senator Corder']",Signed,TAXES - COLLECTION - Adds to existing law to provide the manner of service of a notice of levy and distraint by the State Tax Commission for the collection of taxes.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0027/,
H0028,,LAW,02/22 Governor signed; Session Law Chapter 23; Effective: 01/01/05,2005-02-07,2005-02-14,,"['Representative Clark', 'Senator McKenzie']",Signed,"INCOME TAX - Amends existing law to provide technical corrections to the Idaho income tax law to permit individuals in combat zones to file Idaho income tax returns on the extended tax filing dates allowed by the Internal Revenue Code; to include certain farmers among employers who are required to file annual income tax withholding returns; to revise terms in the new jobs credits; to provide correct cross references in the investment credit for broadband equipment; to provide that equipment purchases that qualify for a deduction under Section 179 of the Internal Revenue Code (property expensed rather than treated as a capital asset) do not qualify for the investment tax credit; and to provide that the statute of limitations on collecting assessed tax, in all cases, begins on the date the record of assessment is entered.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0028/,
H0029,,LAW,03/02 Governor signed; Session Law Chapter 30; Effective: 07/01/05,2005-02-07,2005-02-18,,"['Representative Martinez', 'Senator Stegner']",Signed,TAXES - COLLECTION - Adds to and amends existing law to authorize the State Tax Commission to contract with qualified collection agencies or attorneys for the collection of taxes.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0029/,
H0030,,H Env,01/25 Rpt prt - to Env,,,,,,"ENERGY RESOURCES AUTHORITY ACT - Adds to existing law to create an Idaho Energy Resources Authority as an independent body; and to authorize the Authority to issue revenue bonds for construction of transmission facilities, for energy conservation measures and alternative energy generation.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0030/,
H0031,,LAW,03/02 Governor signed; Session Law Chapter 31; Effective: 07/01/05,2005-02-07,2005-02-18,,"['Representative Smith(24)', 'Senator Langhorst']",Signed,"PROPERTY TAX RELIEF - Amends existing law relating to property tax relief to revise the definitions for ""claimant"" and ""owner.""                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0031/,
H0032,,H Rev/Tax,01/25 Rpt prt - to Rev/Tax,,,,,,PUBLIC PLAYGROUND EQUIPMENT - SALES TAX EXEMPTION - Amends existing law to provide that public playground equipment and associated shock absorbing material are exempt from sales and use tax.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0032/,
H0033,,LAW,03/23 Governor signed; Session Law Chapter 139; Effective: 07/01/05,2005-02-22,2005-03-15,,"['Representative Jones', 'Senator Corder']",Signed,"SMOKE MANAGEMENT AND CROP RESIDUE DISPOSAL - Amends existing law relating to smoke management and crop residue disposal to define ""economically viable alternative.""                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2005/legislation/H0033/,
